,Slogan,SlogansToList,IndexEncoded
1908,Digitally forward creative,"['Digitally', 'forward', 'creative']","[13916, 13916, 2885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1909,Do things that matter,"['Do', 'things', 'that', 'matter']","[3681, 12493, 13916, 7529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1910,Building brands with purpose and passion,"['Building', 'brands', 'with', 'purpose', 'and', 'passion']","[1570, 1435, 13916, 9708, 13916, 8760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1911,Bringing action to brands,"['Bringing', 'action', 'to', 'brands']","[13916, 106, 13916, 1435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1912,In real we trust,"['In', 'real', 'we', 'trust']","[13916, 9906, 13916, 12862, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1913,Stay real Always,"['Stay', 'real', 'Always']","[11782, 9906, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1914,Connected creativity,"['Connected', 'creativity']","[13916, 2886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1915,Connecting customers to your brand,"['Connecting', 'customers', 'to', 'your', 'brand']","[13916, 3032, 13916, 13916, 1435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1916,Ideas that soar,"['Ideas', 'that', 'soar']","[13916, 13916, 11429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1917,Ideas that grow brands,"['Ideas', 'that', 'grow', 'brands']","[13916, 13916, 5440, 1435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1918,Finding the human in technology,"['Finding', 'the', 'human', 'in', 'technology']","[13916, 13916, 5982, 13916, 12365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1919,The one with the mastertouch,"['The', 'one', 'with', 'the', 'mastertouch']","[13916, 8418, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1920,Ad agency by day Invention lab by night,"['Ad', 'agency', 'by', 'day', 'Invention', 'lab', 'by', 'night']","[119, 228, 13916, 3100, 6580, 6874, 13916, 8186, 0, 0, 0, 0, 0, 0, 0, 0]"
1921,Atlanta traffic can be a good thing,"['Atlanta', 'traffic', 'can', 'be', 'a', 'good', 'thing']","[13916, 12707, 1717, 987, 13916, 5280, 12493, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1922,Expect more,"['Expect', 'more']","[4336, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1923,Think like a brand act like a retailer,"['Think', 'like', 'a', 'brand', 'act', 'like', 'a', 'retailer']","[12495, 7099, 13916, 1435, 105, 7099, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
1924,Better Best Wow,"['Better', 'Best', 'Wow']","[13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1925,Creating rejuvenating repositioning brands,"['Creating', 'rejuvenating', 'repositioning', 'brands']","[13916, 13916, 13916, 1435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1926,Helping you open windows of opportunity worldwide,"['Helping', 'you', 'open', 'windows', 'of', 'opportunity', 'worldwide']","[13916, 13916, 8429, 13738, 13916, 8444, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1927,We are the next generation of the advertising world,"['We', 'are', 'the', 'next', 'generation', 'of', 'the', 'advertising', 'world']","[13916, 13916, 13916, 13916, 5132, 13916, 13916, 191, 13820, 0, 0, 0, 0, 0, 0, 0]"
1928,Don't think big Think Giant,"[""Don't"", 'think', 'big', 'Think', 'Giant']","[13916, 12495, 1109, 12495, 5176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1929,Cultivating market leadership from the inside out,"['Cultivating', 'market', 'leadership', 'from', 'the', 'inside', 'out']","[13916, 7460, 6983, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1930,Find your brand's voice,"['Find', 'your', ""brand's"", 'voice']","[4634, 13916, 13916, 13483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1931,Creating Results,"['Creating', 'Results']","[13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1932,Working together to create something younique,"['Working', 'together', 'to', 'create', 'something', 'younique']","[13916, 13916, 13916, 2883, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1933,Good thinking,"['Good', 'thinking']","[5280, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1934,A place where ideas grow,"['A', 'place', 'where', 'ideas', 'grow']","[13916, 9100, 13916, 6076, 5440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1935,Creative solutions to improve your business,"['Creative', 'solutions', 'to', 'improve', 'your', 'business']","[2885, 11474, 13916, 6199, 13916, 1635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1936,Creative juices are flowing,"['Creative', 'juices', 'are', 'flowing']","[2885, 6736, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1937,Brilliant minds,"['Brilliant', 'minds']","[1494, 7725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1938,Putting you yours together,"['Putting', 'you', 'yours', 'together']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1939,Branding Advertising Ideas,"['Branding', 'Advertising', 'Ideas']","[13916, 191, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1940,An ad agency bent on simplicity,"['An', 'ad', 'agency', 'bent', 'on', 'simplicity']","[13916, 119, 228, 13916, 13916, 11188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1941,We develop big ideas that sell,"['We', 'develop', 'big', 'ideas', 'that', 'sell']","[13916, 3392, 1109, 6076, 13916, 10894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1942,The agency alternative,"['The', 'agency', 'alternative']","[13916, 228, 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1943,One brilliant idea for every client,"['One', 'brilliant', 'idea', 'for', 'every', 'client']","[8418, 1494, 6076, 13916, 13916, 2197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1944,The answer to ads commercials and everything,"['The', 'answer', 'to', 'ads', 'commercials', 'and', 'everything']","[13916, 453, 13916, 119, 2386, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1945,Ideas that provoke,"['Ideas', 'that', 'provoke']","[13916, 13916, 9613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1946,Ideas that get Australians talking,"['Ideas', 'that', 'get', 'Australians', 'talking']","[13916, 13916, 5167, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1947,We aren't afraid to be different,"['We', ""aren't"", 'afraid', 'to', 'be', 'different']","[13916, 13916, 221, 13916, 987, 3448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1948,We make smart good looking things,"['We', 'make', 'smart', 'good', 'looking', 'things']","[13916, 7366, 11345, 5280, 13916, 12493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1949,The business creation agency,"['The', 'business', 'creation', 'agency']","[13916, 1635, 2884, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1950,Affective ideas Since always,"['Affective', 'ideas', 'Since', 'always']","[13916, 6076, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1951,A 21st century advertising agency,"['A', '21st', 'century', 'advertising', 'agency']","[13916, 13916, 1905, 191, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1952,Immortalizing ideas,"['Immortalizing', 'ideas']","[13916, 6076, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1953,Prepare for your transformation,"['Prepare', 'for', 'your', 'transformation']","[9394, 13916, 13916, 12741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1954,Creative solutions to improve your business,"['Creative', 'solutions', 'to', 'improve', 'your', 'business']","[2885, 11474, 13916, 6199, 13916, 1635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1955,The right idea at the right price,"['The', 'right', 'idea', 'at', 'the', 'right', 'price']","[13916, 10400, 6076, 13916, 13916, 10400, 9433, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1956,Your brand promoted,"['Your', 'brand', 'promoted']","[13916, 1435, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1957,Branding it better,"['Branding', 'it', 'better']","[13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1958,Take your advertising to the street,"['Take', 'your', 'advertising', 'to', 'the', 'street']","[12275, 13916, 191, 13916, 13916, 11910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1959,We turn heads,"['We', 'turn', 'heads']","[13916, 12899, 5656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1960,We re thinking big,"['We', 're', 'thinking', 'big']","[13916, 13916, 13916, 1109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1961,Tell a bigger story,"['Tell', 'a', 'bigger', 'story']","[12390, 13916, 13916, 11879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1962,The only limit is your imagination,"['The', 'only', 'limit', 'is', 'your', 'imagination']","[13916, 13916, 7112, 13916, 13916, 6116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1963,Excellence in outdoor advertising,"['Excellence', 'in', 'outdoor', 'advertising']","[4282, 13916, 8523, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1964,Your ad 40 million visitors,"['Your', 'ad', '40', 'million', 'visitors']","[13916, 119, 13916, 7717, 13467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1965,Soaring above the rest to provide the best,"['Soaring', 'above', 'the', 'rest', 'to', 'provide', 'the', 'best']","[13916, 13916, 13916, 10283, 13916, 9605, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
1966,Need some space,"['Need', 'some', 'space']","[8112, 13916, 11524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1967,Let outdoor advertising work for you,"['Let', 'outdoor', 'advertising', 'work', 'for', 'you']","[7040, 8523, 191, 13809, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1968,Biggest Brightest Best Boardworks,"['Biggest', 'Brightest', 'Best', 'Boardworks']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1969,Brilliance is our business,"['Brilliance', 'is', 'our', 'business']","[1493, 13916, 13916, 1635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1970,A business without a sign is a sign of no business,"['A', 'business', 'without', 'a', 'sign', 'is', 'a', 'sign', 'of', 'no', 'business']","[13916, 1635, 13916, 13916, 11161, 13916, 13916, 11161, 13916, 13916, 1635, 0, 0, 0, 0, 0]"
1971,We've got Queensland covered,"[""We've"", 'got', 'Queensland', 'covered']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1972,We have you covered,"['We', 'have', 'you', 'covered']","[13916, 5642, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1973,Say something Stellar,"['Say', 'something', 'Stellar']","[10692, 13916, 11803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1974,Think bigger,"['Think', 'bigger']","[12495, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1975,We'll get your attention,"[""We'll"", 'get', 'your', 'attention']","[13916, 5167, 13916, 718, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1976,Drive your sales with billboard airport advertising,"['Drive', 'your', 'sales', 'with', 'billboard', 'airport', 'advertising']","[3814, 13916, 10607, 13916, 1123, 269, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1977,Think big,"['Think', 'big']","[12495, 1109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1978,Let your advertising blossom,"['Let', 'your', 'advertising', 'blossom']","[7040, 13916, 191, 1260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1979,Media that matters,"['Media', 'that', 'matters']","[13916, 13916, 7529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1980,Your world connected,"['Your', 'world', 'connected']","[13916, 13820, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1981,Make your pitch perfect,"['Make', 'your', 'pitch', 'perfect']","[7366, 13916, 9087, 8902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1982,The out of home media specialist,"['The', 'out', 'of', 'home', 'media', 'specialist']","[13916, 13916, 13916, 5856, 7588, 11559, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1983,Florida outdoor advertising with maximum reach,"['Florida', 'outdoor', 'advertising', 'with', 'maximum', 'reach']","[13916, 8523, 191, 13916, 7539, 9896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1984,We think independent,"['We', 'think', 'independent']","[13916, 12495, 6275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1985,Inspired ideas that sell,"['Inspired', 'ideas', 'that', 'sell']","[6457, 6076, 13916, 10894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1986,Take you on a high,"['Take', 'you', 'on', 'a', 'high']","[12275, 13916, 13916, 13916, 5785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1987,Great ideas start with a Scribble,"['Great', 'ideas', 'start', 'with', 'a', 'Scribble']","[5375, 6076, 11755, 13916, 13916, 10798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1988,Ideas people want to spend time with,"['Ideas', 'people', 'want', 'to', 'spend', 'time', 'with']","[13916, 8886, 13546, 13916, 11585, 12569, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1989,Driven by idea,"['Driven', 'by', 'idea']","[13916, 13916, 6076, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1990,Simplicity The biggest idea at Lookad,"['Simplicity', 'The', 'biggest', 'idea', 'at', 'Lookad']","[11188, 13916, 13916, 6076, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1991,Creators of famous advertising,"['Creators', 'of', 'famous', 'advertising']","[13916, 13916, 4464, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1992,Part of your success,"['Part', 'of', 'your', 'success']","[8742, 13916, 13916, 12024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1993,Brand builders storytellers,"['Brand', 'builders', 'storytellers']","[1435, 1569, 11881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1994,Targeted ads National mags,"['Targeted', 'ads', 'National', 'mags']","[13916, 119, 8081, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1995,People first better results,"['People', 'first', 'better', 'results']","[8886, 4662, 13916, 10299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1996,Closer to clients,"['Closer', 'to', 'clients']","[13916, 13916, 2197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1997,Creative solutions Real results,"['Creative', 'solutions', 'Real', 'results']","[2885, 11474, 9906, 10299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1998,Unifying voice for advertising,"['Unifying', 'voice', 'for', 'advertising']","[13916, 13483, 13916, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1999,Advertising Without it you wouldn't know,"['Advertising', 'Without', 'it', 'you', ""wouldn't"", 'know']","[191, 13916, 13916, 13916, 13916, 6860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2000,Keeping advertising standards high,"['Keeping', 'advertising', 'standards', 'high']","[13916, 191, 11732, 5785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2001,No boundaries Better results,"['No', 'boundaries', 'Better', 'results']","[13916, 1395, 13916, 10299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2002,The brand care call center,"['The', 'brand', 'care', 'call', 'center']","[13916, 1435, 1780, 1697, 1900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2003,How can we help you,"['How', 'can', 'we', 'help', 'you']","[13916, 1717, 13916, 5734, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2004,We have the answer We have the service,"['We', 'have', 'the', 'answer', 'We', 'have', 'the', 'service']","[13916, 5642, 13916, 453, 13916, 5642, 13916, 10958, 0, 0, 0, 0, 0, 0, 0, 0]"
2005,Contact center results since 1987,"['Contact', 'center', 'results', 'since', '1987']","[2629, 1900, 10299, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2006,Keeping you connected,"['Keeping', 'you', 'connected']","[13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2007,Every missed call is a missed opportunity,"['Every', 'missed', 'call', 'is', 'a', 'missed', 'opportunity']","[13916, 13916, 1697, 13916, 13916, 13916, 8444, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2008,We answer your phones,"['We', 'answer', 'your', 'phones']","[13916, 453, 13916, 8991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2009,Making every conversation count,"['Making', 'every', 'conversation', 'count']","[13916, 13916, 2687, 2792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2010,Making every contact count,"['Making', 'every', 'contact', 'count']","[13916, 13916, 2629, 2792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2011,When every call counts,"['When', 'every', 'call', 'counts']","[13916, 13916, 1697, 2792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2012,Your first point of call,"['Your', 'first', 'point', 'of', 'call']","[13916, 4662, 9195, 13916, 1697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2013,Inso Your business Our solution,"['Inso', 'Your', 'business', 'Our', 'solution']","[13916, 13916, 1635, 13916, 11474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2014,We love helping business grow,"['We', 'love', 'helping', 'business', 'grow']","[13916, 7246, 13916, 1635, 5440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2015,Get your own dedicated receptionist,"['Get', 'your', 'own', 'dedicated', 'receptionist']","[5167, 13916, 13916, 13916, 9946, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2016,Keeping you in touch,"['Keeping', 'you', 'in', 'touch']","[13916, 13916, 13916, 12667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2017,We treat your business as our own,"['We', 'treat', 'your', 'business', 'as', 'our', 'own']","[13916, 12786, 13916, 1635, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2018,Customer focused Service driven,"['Customer', 'focused', 'Service', 'driven']","[3032, 13916, 10958, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2019,It's your call,"[""It's"", 'your', 'call']","[13916, 13916, 1697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2020,We'll get you through it,"[""We'll"", 'get', 'you', 'through', 'it']","[13916, 5167, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2021,We put your customers first,"['We', 'put', 'your', 'customers', 'first']","[13916, 9721, 13916, 3032, 4662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2022,Because your customers deserve a warm reception,"['Because', 'your', 'customers', 'deserve', 'a', 'warm', 'reception']","[13916, 13916, 3032, 3334, 13916, 13557, 9945, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2023,Your voice of excellence,"['Your', 'voice', 'of', 'excellence']","[13916, 13483, 13916, 4282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024,Your success is our success,"['Your', 'success', 'is', 'our', 'success']","[13916, 12024, 13916, 13916, 12024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025,Keeping you always connected,"['Keeping', 'you', 'always', 'connected']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026,Professional Friendly Courteous,"['Professional', 'Friendly', 'Courteous']","[9512, 4960, 2815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2027,A partner you can rely on,"['A', 'partner', 'you', 'can', 'rely', 'on']","[13916, 8752, 13916, 1717, 10136, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2028,Endless opportunities,"['Endless', 'opportunities']","[4095, 8444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2029,Smarter business solutions Better customer relations,"['Smarter', 'business', 'solutions', 'Better', 'customer', 'relations']","[13916, 1635, 11474, 13916, 3032, 10109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2030,See the future your way,"['See', 'the', 'future', 'your', 'way']","[10871, 13916, 5041, 13916, 13601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2031,Freedom flexibility and choice,"['Freedom', 'flexibility', 'and', 'choice']","[4932, 4735, 13916, 2061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2032,Playing by the rules,"['Playing', 'by', 'the', 'rules']","[13916, 13916, 13916, 10538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2033,Rethink outsourcing,"['Rethink', 'outsourcing']","[10312, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2034,Outsourcing solutions made easy,"['Outsourcing', 'solutions', 'made', 'easy']","[13916, 11474, 13916, 3919, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2035,Revolutionizing the call center industry,"['Revolutionizing', 'the', 'call', 'center', 'industry']","[13916, 13916, 1697, 1900, 6310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2036,Connect for success,"['Connect', 'for', 'success']","[2570, 13916, 12024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2037,Team work makes the dream work,"['Team', 'work', 'makes', 'the', 'dream', 'work']","[12349, 13809, 7366, 13916, 3795, 13809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2038,Moving contact centers forward,"['Moving', 'contact', 'centers', 'forward']","[13916, 2629, 1900, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2039,Your partner in customer relations,"['Your', 'partner', 'in', 'customer', 'relations']","[13916, 8752, 13916, 3032, 10109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2040,The answer you've been looking for,"['The', 'answer', ""you've"", 'been', 'looking', 'for']","[13916, 453, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2041,Linking the world,"['Linking', 'the', 'world']","[13916, 13916, 13820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2042,Your Canada virtual receptionist,"['Your', 'Canada', 'virtual', 'receptionist']","[13916, 13916, 13455, 9946, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2043,Helping you stay in touch with the people you serve,"['Helping', 'you', 'stay', 'in', 'touch', 'with', 'the', 'people', 'you', 'serve']","[13916, 13916, 11782, 13916, 12667, 13916, 13916, 8886, 13916, 10956, 0, 0, 0, 0, 0, 0]"
2044,Redefining service for your customers,"['Redefining', 'service', 'for', 'your', 'customers']","[13916, 10958, 13916, 13916, 3032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2045,Reach your goals reach your potential reach beyond,"['Reach', 'your', 'goals', 'reach', 'your', 'potential', 'reach', 'beyond']","[9896, 13916, 5250, 9896, 13916, 9305, 9896, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
2046,Your call our passion,"['Your', 'call', 'our', 'passion']","[13916, 1697, 13916, 8760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2047,All the right answers,"['All', 'the', 'right', 'answers']","[13916, 13916, 10400, 453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2048,Connecting people with answers,"['Connecting', 'people', 'with', 'answers']","[13916, 8886, 13916, 453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2049,People answering people,"['People', 'answering', 'people']","[8886, 13916, 8886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2050,Your answer to a busy world,"['Your', 'answer', 'to', 'a', 'busy', 'world']","[13916, 453, 13916, 13916, 1643, 13820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2051,When you can't answer we will,"['When', 'you', ""can't"", 'answer', 'we', 'will']","[13916, 13916, 13916, 453, 13916, 13722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2052,Let us handle your calls,"['Let', 'us', 'handle', 'your', 'calls']","[7040, 13916, 5574, 13916, 1697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2053,We never rest so you can,"['We', 'never', 'rest', 'so', 'you', 'can']","[13916, 13916, 10283, 13916, 13916, 1717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2054,You call We answer,"['You', 'call', 'We', 'answer']","[13916, 1697, 13916, 453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2055,Above and beyond the call,"['Above', 'and', 'beyond', 'the', 'call']","[13916, 13916, 13916, 13916, 1697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2056,The call of the future,"['The', 'call', 'of', 'the', 'future']","[13916, 1697, 13916, 13916, 5041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2057,Professionally answered telephones,"['Professionally', 'answered', 'telephones']","[13916, 13916, 12384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2058,AnswerPhone A better answer,"['AnswerPhone', 'A', 'better', 'answer']","[13916, 13916, 13916, 453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2059,We want to be the voice of your company,"['We', 'want', 'to', 'be', 'the', 'voice', 'of', 'your', 'company']","[13916, 13546, 13916, 987, 13916, 13483, 13916, 13916, 2415, 0, 0, 0, 0, 0, 0, 0]"
2060,People like talking with people You'll love talking to us,"['People', 'like', 'talking', 'with', 'people', ""You'll"", 'love', 'talking', 'to', 'us']","[8886, 7099, 13916, 13916, 8886, 13916, 7246, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0]"
